,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
111,acer Aspire Lite,"54,999",N/A,ACER,16GB,4.0,512GB,Windows 11,Silver,(31% off),15.6
112,ASUS Gaming V16 (2025) 14th Gen,"92,990",N/A,ASUS,16GB,4.2,512GB,Windows 11,Black,(18% off),N/A
113,"Lenovo Yoga Slim 7 (Smartchoice) Intel Core Ultra 9 185H 14""(35.5cm) WUXGA-OLED Laptop (32GB RAM/1TB SSD/AI PC/Windows 11/Microsoft 365 Basic + Office Home 2024/1Yr ADP Free/Grey/1.39Kg)","1,09,990",N/A,LENOVO,32GB,4.0,1TB,Windows 11,Grey,(30% off),14
114,ASUS Vivobook S14,"80,990",N/A,ASUS,16GB,4.5,512GB,Windows 11,Silver,(27% off),14
115,Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop,"41,890",AMD Ryzen 5 7520U 15,LENOVO,16GB,4.0,512GB,Windows 11,Grey,(58% off),N/A
116,HP Chromebook x360,"28,490",Intel Celeron,HP,4GB,3.7,4GB,N/A,White,(12% off),35.6
117,HP Smartchoice Victus,"92,990",N/A,HP,16GB,4.0,512GB,Windows 11,Silver,(8% off),15.6
118,Dell SmartChoice G15-5530,"77,787",Intel Core i5,DELL,16GB,4.0,1TB,Windows 11,Grey,(26% off),15.6
119,Dell 15,"51,990",AMD Ryzen 7,DELL,16GB,3.6,512GB,Windows 11,Platinum,(19% off),15.6
120,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),"77,490",AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,(9% off),38.8
121,Lenovo IdeaPad Slim 5,"92,990",AMD Ryzen AI 7 350,LENOVO,24GB,3.7,1TB,Windows 11,Grey,(26% off),14
122,HP Smartchoice Omen AMD Ryzen 7 7840Hs,"1,26,220",AMD Ryzen 7 7840Hs,HP,16GB,4.0,1TB,Windows 11,Black,(9% off),16.1
123,Apple 2025 MacBook Air (13-inch,"89,900",Apple M4,APPLE,N/A,4.7,16GB,N/A,Blue,(10% off),N/A
124,MSI Katana 15,"1,14,990",N/A,MSI,N/A,3.8,512GB,Windows 11,Black,(11% off),40
125,HP 15 Laptop,"45,990",AMD Ryzen 5 7520U,HP,16GB,3.9,512GB,Windows 11,Silver,(17% off),15.6
126,Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),"67,490",AMD Ryzen 7 8840HS 15,LENOVO,16GB,4.8,512GB,Windows 11,Grey,(29% off),38.8
127,Acer TravelLite Thin Laptop AMD Ryzen 5 7430U (6-Core),"36,999",AMD Ryzen 5 7430U,ACER,8GB,3.0,512GB,Windows 11,Black,(30% off),14
128,ASUS Vivobook Go 15,"37,990",AMD Ryzen 5 7520U Thin,ASUS,8GB,4.0,512GB,Windows 11,Silver,(25% off),15.6
129,Lenovo ThinkBook 16,"68,490",AMD Ryzen 7 7735HS,LENOVO,16GB,4.3,512GB,Windows 11,N/A,(26% off),16
130,ASUS Vivobook S14,"65,990",AMD Ryzen AI 5 330,ASUS,16GB,4.4,512GB,Windows 11,Gray,(30% off),14
131,ASUS Zenbook 14,"85,990",AMD Ryzen AI 5 340,ASUS,16GB,4.2,512GB,Windows 11,Black,(27% off),N/A
